Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2025-03-01,0.13055786598633612,0.16161666888912105,0.22617276237575276,-0.0031906760466787936,,0.2563000482972307,0.03801449963107115,0.037202910432811084,0.17975363883425224,0.0248320915136094,0.11474065926403376
2025-04-01,0.147648543807933,0.16794075631096855,0.32820830833987386,0.014389804608728855,,0.24240195256933061,0.03102424230141654,0.043774684232396846,0.17340800054522817,0.05820273341927747,0.11320311925915139
2025-05-01,0.12275575568573698,0.11598052522067595,0.3196127371042941,-0.030079968393834897,,0.1668477200812,0.01918298623453383,0.03381879644017179,0.14176911530187541,0.11069985364172719,0.038846365331881044
2025-06-01,0.10782005133801949,0.05382029170744982,0.2922403419464597,-0.058580983967982656,,0.0863144726088235,0.04120778529710946,0.040996273718011955,0.14449295445578317,0.09628499570190371,0.0229769211043131
2025-07-01,0.10409206604406773,0.06131174495978271,0.2662912604132683,-0.06220880235388059,,0.05042993949786175,0.048818438697069,0.03255473540431833,0.09625087079261008,0.12134242864735532,0.0024285473012358636
2025-08-01,0.05762711767316252,0.026529398389041302,0.23953752127612635,-0.0950670014455997,,0.051478013469710475,0.036895940287646346,0.011528418212774496,0.1104922711964008,0.07418609200182429,-0.044019333566088004
2025-09-01,0.08479125586279936,-0.0344709872612122,0.2483713886783932,-0.09263297998834588,,-0.018671603712976076,0.0656292334646131,0.01573366349450418,0.08000506044531076,0.06246438855400248,-0.07960990359967109
2025-10-01,0.1209773734064385,-0.006858298083373689,0.2522240827574461,-0.06570551729893624,,-0.08808571098506807,0.08430666337285592,0.03717658339313876,0.0537402207913144,0.023798177370934905,-0.08282284677551557
2025-11-01,0.08270536869665965,-0.011944807228143452,0.23253905665031877,-0.0852411763629598,,-0.0357586602675254,0.04721316386515497,0.019050144230054213,0.037491308400443644,-0.06688532246606134,-0.06716254331691045
2025-12-01,0.0693666753989241,-0.03237837442897818,0.24127851959860488,-0.11454447021235102,,-0.041982843759060536,0.0675005769683454,0.05012413072109456,0.09324735792091865,-0.047598208942960456,-0.07781340440444974
2026-01-01,-0.016295388980273825,-0.05648426738566506,0.12630499337565382,-0.0912803476967324,,-0.04291102408533264,-0.010527615394850776,0.014040925626468867,0.0744703616520436,-0.051651525711323074,-0.09586685510486859
2026-02-01,-0.10169141599447427,-0.03862399306491128,0.042957416242592625,-0.05023484388760021,,-0.005798742438648373,-0.08918202004151099,-0.04331271186548994,-0.021399519414430374,-0.0887589842887196,-0.056887045404282986
